pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.72	67822	19519266	287.80
9.60	7.42	67822	19519266	287.80
9.30	7.12	67822	19519266	287.80
9.00	6.82	67822	19519266	287.80
8.70	6.58	77718	22329512	287.31
8.40	6.29	77718	22329512	287.31
8.10	5.99	77718	22329512	287.31
7.80	5.69	77718	22329512	287.31
7.50	5.39	77718	22329512	287.31
7.20	5.17	92275	26221369	284.17
6.90	4.87	92275	26221369	284.17
6.60	4.57	92275	26221369	284.17
6.30	4.27	92275	26221369	284.17
6.00	3.97	92275	26221369	284.17
5.70	3.78	115748	31944476	275.98
5.40	3.48	115748	31944476	275.98
5.10	3.18	115748	31944476	275.98
4.80	2.88	115748	31944476	275.98
4.50	2.72	160087	41525302	259.39
4.20	2.42	160087	41525302	259.39
3.90	2.12	160087	41525302	259.39
3.60	1.82	160087	41525302	259.39
3.30	1.70	254950	60098965	235.73
3.00	1.40	254950	60098965	235.73
2.70	1.10	254950	60098965	235.73
2.40	0.80	254950	60098965	235.73
2.10	0.73	475510	102633686	215.84
1.80	0.43	475510	102633686	215.84
1.50	0.13	475510	102633686	215.84
1.20	0.03	1033185	226137892	218.87
0.90	0.00	1033185	226137892	218.87
0.60	0.00	1033185	226137892	218.87
