pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.67	2777	580616	209.08
9.60	6.41	3139	659702	210.16
9.30	6.26	4580	945215	206.38
9.00	6.00	5193	1083142	208.58
8.70	5.75	5942	1247288	209.91
8.40	5.49	6782	1433587	211.38
8.10	5.23	7697	1639760	213.04
7.80	5.09	11659	2429317	208.36
7.50	4.83	12941	2722329	210.36
7.20	4.57	14630	3101507	212.00
6.90	4.32	16653	3554873	213.47
6.60	4.05	18554	3998824	215.52
6.30	3.92	28864	6099805	211.33
6.00	3.66	32518	6944960	213.57
5.70	3.41	36857	7957913	215.91
5.40	3.15	41079	8971572	218.40
5.10	2.91	63607	13715444	215.63
4.80	2.76	72309	15777835	218.20
4.50	2.49	79837	17656744	221.16
4.20	2.24	89607	20142934	224.79
3.90	1.97	98535	22541651	228.77
3.60	1.84	152387	34810690	228.44
3.30	1.58	170845	39814568	233.04
3.00	1.32	187265	44580123	238.06
2.70	1.05	204372	49861254	243.97
2.40	0.91	307036	76230879	248.28
2.10	0.66	339269	86914052	256.18
1.80	0.39	367278	97326282	264.99
1.50	0.18	527995	146807016	278.05
1.20	0.00	581947	170271554	292.59
0.90	0.00	622302	192678598	309.62
0.60	0.00	392585	2490983316	6345.08
0.30	0.00	166930	2859267121	17128.54
