pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.40	193	13079	67.77
9.60	5.21	281	19142	68.12
9.30	4.94	341	23480	68.86
9.00	4.71	347	23950	69.02
8.70	4.48	420	28919	68.85
8.40	4.25	517	36211	70.04
8.10	4.20	1122	78198	69.70
7.80	3.98	1624	114178	70.31
7.50	3.75	1658	117106	70.63
7.20	3.53	2107	149499	70.95
6.90	3.29	2491	178277	71.57
6.60	3.05	3030	222514	73.44
6.30	2.99	6735	490966	72.90
6.00	2.76	9806	717474	73.17
5.70	2.57	10186	753509	73.97
5.40	2.35	12681	952239	75.09
5.10	2.12	16267	1275444	78.41
4.80	1.87	17643	1406244	79.71
4.50	1.61	19662	1616140	82.20
4.20	1.45	49094	4042507	82.34
3.90	1.45	70725	6086676	86.06
3.60	1.24	87366	7856719	89.93
3.30	1.02	108887	10415199	95.65
3.00	0.77	122310	12231291	100.00
2.70	0.50	133281	13918862	104.43
2.40	0.23	142243	15577440	109.51
2.10	0.00	147249	16716959	113.53
1.80	0.00	155019	2367078849	15269.60
1.50	0.00	78693	2757617165	35042.73
1.20	0.00	32340	2867426121	88665.00
0.90	0.00	6666	2742710536	411447.73
0.60	0.00	235	1224267655	5209649.60
