pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.67	4606	942957	204.72
9.60	6.48	5678	1144287	201.53
9.30	6.22	6325	1276110	201.76
9.00	5.96	6976	1417243	203.16
8.70	5.70	7749	1585248	204.57
8.40	5.44	8662	1782675	205.80
8.10	5.27	11484	2298489	200.15
7.80	5.01	12791	2576153	201.40
7.50	4.75	14200	2877803	202.66
7.20	4.49	15948	3252965	203.97
6.90	4.23	17534	3602143	205.44
6.60	4.08	24700	4920026	199.19
6.30	3.82	27993	5616516	200.64
6.00	3.56	31110	6302339	202.58
5.70	3.30	34487	7063952	204.83
5.40	3.04	52383	10406881	198.67
5.10	2.91	58279	11716748	201.05
4.80	2.65	64983	13203130	203.18
4.50	2.39	72571	14954940	206.07
4.20	2.13	80094	16751960	209.15
3.90	2.00	125078	25663310	205.18
3.60	1.75	140636	29323200	208.50
3.30	1.49	157059	33365670	212.44
3.00	1.23	172169	37343483	216.90
2.70	1.05	271150	58669350	216.37
2.40	0.85	303671	67321462	221.69
2.10	0.59	335590	76557404	228.13
1.80	0.33	364728	85930799	235.60
1.50	0.21	585390	142337637	243.15
1.20	0.00	649068	165703384	255.29
0.90	0.00	699465	188799751	269.92
0.60	0.00	393626	2529584166	6426.36
0.30	0.00	182470	2799913218	15344.51
