pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.51	2686	748485	278.66
9.60	6.25	3050	860809	282.23
9.30	6.05	3656	1021553	279.42
9.00	5.80	4169	1175763	282.03
8.70	5.54	4710	1338478	284.18
8.40	5.28	5357	1537357	286.98
8.10	5.03	6060	1759265	290.31
7.80	4.86	7971	2233673	280.22
7.50	4.61	9063	2583319	285.04
7.20	4.35	10357	3012940	290.91
6.90	4.10	11709	3480799	297.28
6.60	3.86	16817	4778904	284.17
6.30	3.70	19285	5619725	291.40
6.00	3.45	21958	6587143	299.99
5.70	3.20	25123	7744418	308.26
5.40	2.94	28347	9018628	318.15
5.10	2.79	44436	13374684	300.99
4.80	2.57	50448	15773902	312.68
4.50	2.32	57527	18734546	325.67
4.20	2.06	64926	22079440	340.07
3.90	1.81	105545	34428519	326.20
3.60	1.70	119386	40888204	342.49
3.30	1.45	134818	48942347	363.03
3.00	1.20	148755	57292487	385.15
2.70	0.94	162420	66783650	411.18
2.40	0.85	269246	110888786	411.85
2.10	0.60	294610	131551693	446.53
1.80	0.35	313368	151861030	484.61
1.50	0.17	489848	253501591	517.51
1.20	0.02	517023	300073934	580.39
0.90	0.00	526845	345511406	655.81
0.60	0.00	221085	2620018493	11850.73
0.30	0.00	65290	2866872285	43909.82
