pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.33	1361	328448	241.33
9.60	6.09	1594	389074	244.09
9.30	5.84	1855	453136	244.28
9.00	5.67	2377	572447	240.83
8.70	5.42	2816	678326	240.88
8.40	5.18	3272	793763	242.59
8.10	4.93	3822	931052	243.60
7.80	4.69	4414	1083691	245.51
7.50	4.53	6084	1468399	241.35
7.20	4.29	7179	1744312	242.97
6.90	4.04	8266	2030422	245.64
6.60	3.80	9602	2385065	248.39
6.30	3.66	14336	3463611	241.60
6.00	3.42	16596	4063642	244.86
5.70	3.17	19375	4804458	247.97
5.40	2.92	22214	5589414	251.62
5.10	2.81	34941	8556509	244.88
4.80	2.56	40454	10065020	248.80
4.50	2.31	46571	11782220	252.99
4.20	2.07	53390	13769351	257.90
3.90	1.97	89133	22483222	252.24
3.60	1.72	102142	26294159	257.43
3.30	1.47	116724	30783640	263.73
3.00	1.25	193789	50770319	261.99
2.70	1.13	225282	60742002	269.63
2.40	0.89	254247	70756250	278.30
2.10	0.64	283828	81921388	288.63
1.80	0.55	474265	140920851	297.14
1.50	0.30	529676	165168831	311.83
1.20	0.05	578355	190576304	329.51
0.90	0.00	918727	333744092	363.27
0.60	0.00	982279	391207653	398.27
0.30	0.00	335908	2752393161	8193.89
