pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.67	5580	1583249	283.74
9.60	6.48	6778	1875775	276.74
9.30	6.22	7554	2110210	279.35
9.00	5.96	8327	2365152	284.03
8.70	5.70	9238	2653894	287.28
8.40	5.44	10266	2997234	291.96
8.10	5.27	13243	3691772	278.77
7.80	5.01	14733	4172063	283.18
7.50	4.75	16356	4715197	288.29
7.20	4.49	18267	5362423	293.56
6.90	4.23	20085	6028162	300.13
6.60	4.08	27671	7837994	283.26
6.30	3.82	31304	9017604	288.07
6.00	3.56	34634	10186913	294.13
5.70	3.30	38292	11533630	301.20
5.40	3.04	56985	16103906	282.60
5.10	2.91	63200	18357033	290.46
4.80	2.65	70257	20959757	298.33
4.50	2.39	78065	24092255	308.62
4.20	2.13	85613	27324788	319.17
3.90	2.00	131347	40244458	306.40
3.60	1.75	146463	46754234	319.22
3.30	1.49	161600	54009018	334.21
3.00	1.23	174614	61346115	351.32
2.70	1.05	268695	93290230	347.20
2.40	0.85	294416	108546490	368.68
2.10	0.59	317053	124892954	393.92
1.80	0.33	334480	141305930	422.46
1.50	0.21	513036	225413042	439.37
1.20	0.00	542131	262742416	484.65
0.90	0.00	555230	297470945	535.76
0.60	0.00	231780	2615909005	11286.17
0.30	0.00	74147	2845033095	38370.17
