pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.74	5814	1114583	191.71
9.60	6.49	6586	1267789	192.50
9.30	6.30	8382	1588444	189.51
9.00	6.04	9367	1779601	189.99
8.70	5.79	10522	2004166	190.47
8.40	5.53	11784	2251575	191.07
8.10	5.27	13086	2513018	192.04
7.80	5.11	17870	3365659	188.34
7.50	4.85	20159	3813255	189.16
7.20	4.60	22756	4333159	190.42
6.90	4.34	25322	4851157	191.58
6.60	4.08	28171	5435782	192.96
6.30	3.94	40475	7678082	189.70
6.00	3.68	45088	8618373	191.15
5.70	3.42	50515	9734610	192.71
5.40	3.16	56479	11000922	194.78
5.10	2.98	82652	15921486	192.63
4.80	2.77	92963	18097414	194.67
4.50	2.52	103363	20378770	197.16
4.20	2.26	114858	22968915	199.98
3.90	1.99	125808	25550972	203.09
3.60	1.87	187539	38009745	202.68
3.30	1.62	210840	43536557	206.49
3.00	1.35	231660	48798522	210.65
2.70	1.09	252354	54316728	215.24
2.40	0.96	375951	82164815	218.55
2.10	0.71	417402	93880718	224.92
1.80	0.44	453458	105286644	232.19
1.50	0.25	662882	159706079	240.93
1.20	0.06	735154	185480859	252.30
0.90	0.00	788161	209590672	265.92
0.60	0.00	494213	2394073365	4844.21
0.30	0.00	172613	2814148499	16303.22
