pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.81	378	80712	213.52
9.60	5.59	455	97917	215.20
9.30	5.45	625	131398	210.24
9.00	5.22	743	156021	209.99
8.70	4.98	902	190514	211.21
8.40	4.75	1065	225538	211.77
8.10	4.53	1330	280691	211.05
7.80	4.31	1982	410474	207.10
7.50	4.19	2393	498035	208.12
7.20	3.98	3053	634153	207.71
6.90	3.74	3635	757578	208.41
6.60	3.51	4425	926638	209.41
6.30	3.27	5311	1122487	211.35
6.00	3.21	9470	1958622	206.82
5.70	3.00	11925	2480528	208.01
5.40	2.77	14593	3062849	209.88
5.10	2.53	17254	3658339	212.03
4.80	2.28	19989	4286112	214.42
4.50	2.20	38458	8173281	212.52
4.20	2.02	47311	10189158	215.37
3.90	1.79	57596	12588521	218.57
3.60	1.55	67509	15025558	222.57
3.30	1.30	76747	17415323	226.92
3.00	1.28	153350	35256906	229.91
2.70	1.06	189418	44845546	236.75
2.40	0.81	218069	53087462	243.44
2.10	0.55	242998	61003023	251.04
1.80	0.45	469354	125405212	267.19
1.50	0.31	563315	159367552	282.91
1.20	0.06	622288	185653191	298.34
0.90	0.00	652757	204398203	313.13
0.60	0.00	238305	2740253283	11498.93
0.30	0.00	42595	2866919556	67306.48
