pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.34	1980	404465	204.28
9.60	6.10	2325	477284	205.28
9.30	5.84	2672	559853	209.53
9.00	5.59	3080	653073	212.04
8.70	5.42	4044	838053	207.23
8.40	5.20	4637	972254	209.67
8.10	4.96	5393	1143483	212.03
7.80	4.71	6350	1367858	215.41
7.50	4.46	7309	1598266	218.67
7.20	4.23	10322	2185979	211.78
6.90	4.09	12023	2584206	214.94
6.60	3.86	14342	3144732	219.27
6.30	3.60	16420	3688126	224.61
6.00	3.35	18928	4359140	230.30
5.70	3.12	28615	6412856	224.11
5.40	3.02	34516	7969787	230.90
5.10	2.77	40694	9726781	239.02
4.80	2.52	46818	11603533	247.84
4.50	2.26	53373	13770736	258.01
4.20	2.10	89662	22782057	254.09
3.90	1.95	106879	28394332	265.67
3.60	1.70	122251	34010083	278.20
3.30	1.44	137179	40119449	292.46
3.00	1.18	150677	46461946	308.35
2.70	1.12	271081	85828604	316.62
2.40	0.87	307594	104338562	339.21
2.10	0.62	333910	121183881	362.92
1.80	0.35	352843	137332015	389.22
1.50	0.30	625211	268612683	429.64
1.20	0.06	662362	315453575	476.26
0.90	0.00	671638	350275977	521.52
0.60	0.00	221239	2668591678	12062.03
0.30	0.00	34724	2881613110	82986.21
