pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.79	4513	783993	173.72
9.60	6.52	4987	869803	174.41
9.30	6.25	5452	956550	175.45
9.00	6.08	6742	1165393	172.86
8.70	5.82	7544	1305845	173.10
8.40	5.55	8363	1452097	173.63
8.10	5.29	9209	1607499	174.56
7.80	5.02	10295	1809789	175.79
7.50	4.81	13777	2370189	172.04
7.20	4.60	15577	2692432	172.85
6.90	4.34	17557	3049211	173.67
6.60	4.08	19856	3472333	174.88
6.30	3.81	21949	3862847	175.99
6.00	3.54	32034	5524957	172.47
5.70	3.40	36392	6325868	173.83
5.40	3.14	41659	7302006	175.28
5.10	2.87	46739	8271566	176.97
4.80	2.61	51991	9299710	178.87
4.50	2.37	80215	14174819	176.71
4.20	2.21	91871	16451197	179.07
3.90	1.95	104489	18973571	181.58
3.60	1.69	116375	21446044	184.28
3.30	1.42	129363	24282029	187.70
3.00	1.29	210618	39590901	187.97
2.70	1.04	237863	45664750	191.98
2.40	0.78	267064	52527950	196.69
2.10	0.52	294823	59596624	202.14
1.80	0.34	501044	104370329	208.31
1.50	0.18	567346	122769215	216.39
1.20	0.00	626649	141826954	226.33
0.90	0.00	672681	159986718	237.83
0.60	0.00	346105	2613653726	7551.62
0.30	0.00	130830	2850104131	21784.79
