pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.50	3055	704282	230.53
9.60	6.24	3441	797240	231.69
9.30	5.99	3860	892353	231.18
9.00	5.79	4640	1062381	228.96
8.70	5.54	5239	1207910	230.56
8.40	5.29	5972	1380317	231.13
8.10	5.04	6711	1564227	233.08
7.80	4.79	7608	1786033	234.76
7.50	4.61	9636	2215462	229.92
7.20	4.36	11061	2559302	231.38
6.90	4.11	12578	2928253	232.81
6.60	3.86	14259	3351181	235.02
6.30	3.71	19160	4367364	227.94
6.00	3.47	22149	5077499	229.24
5.70	3.22	25359	5870677	231.50
5.40	2.96	28822	6747603	234.11
5.10	2.83	42173	9525152	225.86
4.80	2.59	48775	11126397	228.12
4.50	2.34	56110	12971396	231.18
4.20	2.09	64091	15048858	234.80
3.90	1.99	102554	23266426	226.87
3.60	1.75	119000	27464803	230.80
3.30	1.50	135550	31944085	235.66
3.00	1.25	227745	52767286	231.69
2.70	1.17	264782	62825262	237.27
2.40	0.92	300508	73332800	244.03
2.10	0.66	334611	84409324	252.26
1.80	0.59	587846	151242075	257.28
1.50	0.34	659029	177240318	268.94
1.20	0.09	715892	202264887	282.54
0.90	0.03	1218299	381264348	312.95
0.60	0.00	1297142	440729820	339.77
0.30	0.00	362328	2714778277	7492.60
