pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.05	1076	254191	236.24
9.60	5.81	1266	305916	241.64
9.30	5.62	1544	368785	238.85
9.00	5.38	1797	432494	240.68
8.70	5.15	2099	510523	243.22
8.40	4.91	2447	605851	247.59
8.10	4.66	2872	716718	249.55
7.80	4.50	3740	914373	244.48
7.50	4.27	4439	1106347	249.23
7.20	4.03	5240	1331103	254.03
6.90	3.79	6217	1597987	257.04
6.60	3.55	7450	1963713	263.59
6.30	3.44	10615	2706978	255.01
6.00	3.20	12681	3319130	261.74
5.70	2.96	15134	4081895	269.72
5.40	2.72	17967	4985161	277.46
5.10	2.50	28320	7578900	267.62
4.80	2.41	34506	9549393	276.75
4.50	2.17	41653	12003723	288.18
4.20	1.93	48573	14655352	301.72
3.90	1.69	56701	17957547	316.71
3.60	1.63	103651	32053228	309.24
3.30	1.41	122269	40020821	327.32
3.00	1.17	140599	49093091	349.17
2.70	0.92	157009	58532608	372.80
2.40	0.86	307215	119667394	389.52
2.10	0.66	346528	146854862	423.79
1.80	0.41	375593	173635246	462.30
1.50	0.21	673419	361739493	537.17
1.20	0.16	722777	445416552	616.26
0.90	0.00	732383	510723126	697.34
0.60	0.00	271164	2644071482	9750.82
0.30	0.00	46815	2932000178	62629.50
