pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.74	6295	1416410	225.01
9.60	6.49	7123	1620300	227.47
9.30	6.30	8994	2000188	222.39
9.00	6.04	10060	2266057	225.25
8.70	5.79	11290	2566075	227.29
8.40	5.53	12660	2913614	230.14
8.10	5.27	14034	3280068	233.72
7.80	5.11	18985	4306218	226.82
7.50	4.85	21407	4935223	230.54
7.20	4.60	24190	5680227	234.82
6.90	4.34	26873	6419269	238.87
6.60	4.08	29909	7312663	244.50
6.30	3.94	42600	10124447	237.66
6.00	3.68	47384	11519108	243.10
5.70	3.42	53049	13230836	249.41
5.40	3.16	59142	15212876	257.23
5.10	2.98	86250	21953065	254.53
4.80	2.77	96675	25416766	262.91
4.50	2.52	106985	29185643	272.80
4.20	2.26	117939	33487861	283.94
3.90	1.99	128167	37918480	295.85
3.60	1.87	191102	57570295	301.25
3.30	1.62	212389	67433883	317.50
3.00	1.35	229901	76887315	334.44
2.70	1.09	245781	86945413	353.75
2.40	0.96	363989	135898510	373.36
2.10	0.71	393438	157791355	401.06
1.80	0.44	414393	178544643	430.86
1.50	0.25	588903	275848120	468.41
1.20	0.06	623268	321658392	516.08
0.90	0.00	636109	361575640	568.42
0.60	0.00	298728	2507458675	8393.79
0.30	0.00	66319	2858439491	43101.37
