pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.18	1351	286800	212.29
9.60	5.94	1547	330533	213.66
9.30	5.70	1786	383213	214.56
9.00	5.55	2476	519383	209.77
8.70	5.31	2948	621199	210.72
8.40	5.07	3469	735493	212.02
8.10	4.84	4026	861238	213.92
7.80	4.59	4721	1024131	216.93
7.50	4.40	6955	1470596	211.44
7.20	4.25	8635	1839771	213.06
6.90	4.00	10022	2176272	217.15
6.60	3.76	11781	2599866	220.68
6.30	3.52	14139	3181691	225.03
6.00	3.29	22295	4891894	219.42
5.70	3.20	27111	6095009	224.82
5.40	2.97	31853	7349588	230.73
5.10	2.72	36767	8726668	237.35
4.80	2.47	42379	10425632	246.01
4.50	2.25	70169	17170647	244.70
4.20	2.16	86022	22007758	255.84
3.90	1.92	97835	26121787	267.00
3.60	1.67	113397	31995844	282.16
3.30	1.41	125521	37250713	296.77
3.00	1.29	219395	68518820	312.31
2.70	1.11	249798	83284015	333.41
2.40	0.86	279122	100321884	359.42
2.10	0.60	299556	115325945	384.99
1.80	0.42	489462	208889751	426.77
1.50	0.29	549027	262490922	478.10
1.20	0.04	576557	306106952	530.92
0.90	0.00	581202	334948251	576.30
0.60	0.00	165366	2765757016	16725.06
0.30	0.00	19751	2926255092	148157.31
