pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.75	6835	1313329	192.15
9.60	6.48	7423	1438385	193.77
9.30	6.31	8848	1666045	188.30
9.00	6.05	9782	1852649	189.39
8.70	5.78	10717	2057352	191.97
8.40	5.51	11666	2272909	194.83
8.10	5.24	12582	2487076	197.67
7.80	5.06	16270	3088298	189.82
7.50	4.83	18161	3495608	192.48
7.20	4.56	20206	3962948	196.13
6.90	4.30	22488	4494371	199.86
6.60	4.03	24787	5069812	204.54
6.30	3.76	27087	5681117	209.74
6.00	3.64	39492	7835092	198.40
5.70	3.37	43722	8896523	203.48
5.40	3.11	49229	10306389	209.36
5.10	2.84	53990	11622927	215.28
4.80	2.58	59332	13202001	222.51
4.50	2.46	93220	19915255	213.64
4.20	2.19	103785	22970158	221.32
3.90	1.93	115759	26586877	229.67
3.60	1.66	126418	30251594	239.30
3.30	1.41	205066	47906123	233.61
3.00	1.29	230394	56237667	244.09
2.70	1.03	253658	64844886	255.64
2.40	0.76	276111	74427044	269.55
2.10	0.50	292439	83161355	284.37
1.80	0.41	520086	151083365	290.50
1.50	0.17	567456	177583416	312.95
1.20	0.00	596348	201499978	337.89
0.90	0.00	608207	220338867	362.28
0.60	0.00	179890	2740313573	15233.27
0.30	0.00	39400	2881981366	73146.74
