pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.11	15937	2162083	135.66
9.60	6.93	17627	2426213	137.64
9.30	6.66	19408	2719863	140.14
9.00	6.39	21189	3023595	142.70
8.70	6.11	22885	3323663	145.23
8.40	5.84	24877	3691667	148.40
8.10	5.64	33218	4792739	144.28
7.80	5.38	36473	5366888	147.15
7.50	5.11	39905	6008847	150.58
7.20	4.84	43703	6724769	153.87
6.90	4.56	46896	7385985	157.50
6.60	4.29	50923	8219149	161.40
6.30	4.10	68908	10898165	158.16
6.00	3.83	76087	12348310	162.29
5.70	3.55	82408	13727307	166.58
5.40	3.28	88824	15247331	171.66
5.10	3.00	95364	16828553	176.47
4.80	2.81	129906	22635752	174.25
4.50	2.54	141124	25349758	179.63
4.20	2.27	152429	28247246	185.31
3.90	1.99	163704	31363262	191.59
3.60	1.72	174242	34570875	198.41
3.30	1.53	237424	46869891	197.41
3.00	1.26	258202	52870542	204.76
2.70	0.99	277094	59014184	212.98
2.40	0.72	293821	65283641	222.19
2.10	0.44	307961	71606248	232.52
1.80	0.31	468333	111316741	237.69
1.50	0.05	505089	127648601	252.72
1.20	0.00	531139	143705642	270.56
0.90	0.00	397868	2259970475	5680.20
0.60	0.00	183552	2769261913	15087.07
0.30	0.00	41667	2895340886	69487.63
